Keyword,SQL-2023,DB2-13,Mimer SQL-11,MySQL-8,Oracle-23c,PostgreSQL-16,SQL Server-2022,Teradata-15
ABORT,,,,,,,,Teradata
ABORTSESSION,,,,,,,,Teradata
ABS,SQL-2023,,,,,,,Teradata
ABSENT,SQL-2023,,,,,,,
ABSOLUTE,,,,,,,,Teradata
ACCESS,,,,,Oracle,,,
ACCESSIBLE,,,,MySQL,,,,
ACCESS_LOCK,,,,,,,,Teradata
ACCOUNT,,,,,,,,Teradata
ACOS,SQL-2023,,,,,,,Teradata
ACOSH,,,,,,,,Teradata
ACTION,,,,,,,,Teradata
ADD,,DB2,,MySQL,Oracle,,SQL Server,Teradata
ADD_MONTHS,,,,,,,,Teradata
ADMIN,,,,,,,,Teradata
AFTER,,DB2,,,,,,Teradata
AGGREGATE,,,,,,,,Teradata
ALIAS,,,,,,,,Teradata
ALL,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
ALLOCATE,SQL-2023,DB2,Mimer,,,,,Teradata
ALLOW,,DB2,,,,,,
ALTER,SQL-2023,,Mimer,MySQL,Oracle,,SQL Server,Teradata
ALTERAND,,DB2,,,,,,
AMP,,,,,,,,Teradata
ANALYSE,,,,,,PostgreSQL,,
ANALYZE,,,,MySQL,,PostgreSQL,,
AND,SQL-2023,,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
ANSIDATE,,,,,,,,Teradata
ANY,SQL-2023,DB2,Mimer,,Oracle,PostgreSQL,SQL Server,Teradata
ANY_VALUE,SQL-2023,,,,,,,
ARE,SQL-2023,,,,,,,Teradata
ARRAY,SQL-2023,DB2,,,,PostgreSQL,,Teradata
ARRAY_AGG,SQL-2023,,,,,,,
ARRAY_EXISTS,,DB2,,,,,,
ARRAY_MAX_CARDINALITY,SQL-2023,,,,,,,
AS,SQL-2023,DB2,Mimer,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
ASC,,,,MySQL,Oracle,PostgreSQL,SQL Server,Teradata
